,Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,Day,Month,Year,Temperature Category,Fuel Category
0,1,2010-02-05,1643690.9,0,42.31,2.572,211.0963582,8.106,Friday,Feb,2010,From 40 to 60,2.4 to 3.4
1,1,2010-02-12,1641957.44,1,38.51,2.548,211.2421698,8.106,Friday,Feb,2010,From 20 to 40,2.4 to 3.4
2,1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,Friday,Feb,2010,From 20 to 40,2.4 to 3.4
3,1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,Friday,Feb,2010,From 40 to 60,2.4 to 3.4
4,1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
5,1,2010-03-12,1439541.59,0,57.79,2.667,211.3806429,8.106,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
6,1,2010-03-19,1472515.79,0,54.58,2.72,211.215635,8.106,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
7,1,2010-03-26,1404429.92,0,51.45,2.732,211.0180424,8.106,Friday,Mar,2010,From 40 to 60,2.4 to 3.4
8,1,2010-04-02,1594968.28,0,62.27,2.719,210.8204499,7.808,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
9,1,2010-04-09,1545418.53,0,65.86,2.77,210.6228574,7.808,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
10,1,2010-04-16,1466058.28,0,66.32,2.808,210.4887,7.808,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
11,1,2010-04-23,1391256.12,0,64.84,2.795,210.4391228,7.808,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
12,1,2010-04-30,1425100.71,0,67.41,2.78,210.3895456,7.808,Friday,Apr,2010,From 60 to 80,2.4 to 3.4
13,1,2010-05-07,1603955.12,0,72.55,2.835,210.3399684,7.808,Friday,May,2010,From 60 to 80,2.4 to 3.4
